mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year,Make
14,8,350,165,4209,12,1972,Tata
31.9,4,89,71,1925,14,1980,Tata
17,8,302,140,3449,11,1971,Tata
15,8,400,150,3761,10,1971,Tata
30.5,4,98,63,2051,17,1978,Tata
23,8,350,125,3900,17,1980,Tata
13,8,351,158,4363,13,1974,Datsun
14,8,440,215,4312,9,1971,Datsun
25.4,5,183,77,3530,20,1980,Datsun
37.7,4,89,62,2050,17,1982,Datsun
34,4,108,70,2245,17,1983,Datsun
34.3,4,97,78,2188,16,1981,Datsun
16,8,302,140,4141,14,1975,Renault
11,8,350,180,3664,11,1974,Renault
19.1,6,225,90,6466,19,1981,Renault
16.9,8,350,155,4360,15,1980,Renault
31.8,4,85,65,2020,19,1980,Renault
16,8,304,150,3433,12,1971,Renault
24,4,113,95,2278,16,1973,Renault
24,4,107,90,2430,15,1971,Renault
37.2,4,86,65,2019,16,1981,Renault
21.5,4,121,110,2600,13,1978,Renault
24,6,200,81,3012,18,1977,Renault
15.5,8,351,142,4054,14,1980,Renault
38.1,4,89,60,1968,19,1981,Maruti Suzuki
33,4,91,53,1795,17,1977,Maruti Suzuki
31,4,71,65,1773,19,1972,Maruti Suzuki
14,8,351,148,4657,14,1976,Maruti Suzuki
18,6,250,78,3574,21,1977,Maruti Suzuki
29.9,4,98,65,2380,21,1982,Maruti Suzuki
27,4,97,88,2130,15,1971,Maruti Suzuki
16,6,250,100,3278,18,1974,Maruti Suzuki
23,4,120,97,2506,15,1973,Maruti Suzuki
21,6,199,90,2606,15,1971,Maruti Suzuki
30,4,97,67,1985,16,1978,Maruti Suzuki
22.4,6,231,110,3415,16,1982,Datsun
26,4,97,46,1835,21,1971,Datsun
21.5,3,80,110,2720,14,1978,Datsun
16.5,8,351,138,3955,13,1980,Datsun
20.2,6,232,90,3265,18,1980,Datsun
16,6, ,105,3897,19,1976,Datsun
14,8,302,140,4638,16,1975,Datsun
18.5,6,250,110,3645,16,1977,Datsun
17.5,6,250,110,3520,16,1978,Datsun
14,8,455,225,3086,10,1971,Maruti Suzuki
31.6,4,120,74,2635,18,1982,Maruti Suzuki
13,8,318,150,3755,14,1977,Hyundai
22,4,122,86,2395,16,1973,Hyundai
29,4,97,78,1940,15,1978,Hyundai
20.2,6,200,88,3060,17,1982,Hyundai
13,8,400,150,4464,12,1974,Hyundai
27.2,4,141,71,3190,25,1980,Hyundai
14,8,340,160,3609,8,1971,Hyundai
24,4,116,75,2158,16,1974,Hyundai
16.5,8,350,180,4380,12,1977,Tata
16,8,400,230,4278,10,1974,Tata
19,6,156,108,2930,16,1977,Tata
33.5,4,98,83,2075,16,1978,Tata
29,4,90,70,1937,14,1977,Tata
13,8,360,175,3821,11,1974,Tata
18,6,232,100,2945,16,1974,Tata
22,4,108,94,2379,17,1974,Tata
32.7,6,168,132,2910,11,1981,Maruti Suzuki
46.6,4,86,65,2110,18,1981,Maruti Suzuki
14,8,318,150,4237,15,1974,Maruti Suzuki
18.5,6,250,98,3525,19,1978,Maruti Suzuki
26,4,97,46,1950,21,1974,Maruti Suzuki
32,4,91,67,1965,16,1983,Maruti Suzuki
29.5,4,97,71,1825,12,1977,Maruti Suzuki
17.5,8,305,145,3880,13,1978,Maruti Suzuki
20,6,198,95,3102,17,1975,Maruti Suzuki
27,4,112,88,2640,19,1983,Maruti Suzuki
28,4,97,92,2288,17,1973,Maruti Suzuki
24,4,119,97,2545,17,1976,Maruti Suzuki
29,4,98,83,2219,17,1975,Maruti Suzuki
38,6,262,85,3015,17,1983,Maruti Suzuki
22.5,6,232,90,3085,18,1977,Maruti Suzuki
21.1,4,134,95,2515,15,1979,Renault
26,4,98,90,2265,16,1974,Renault
32.4,4,108,75,2350,17,1982,Renault
15.5,8,400,190,4325,12,1978,Renault
12,8,429,198,4952,12,1974,Premier
19.2,8,305,145,3425,13,1979,Premier
23,4,115,95,2694,15,1976,Premier
25,4,116,81,2220,17,1977,Premier
35,4,72,69,1613,18,1972,Premier
18,6,199,97,2774,16,1971,Premier
17.6,6,225,85,3465,17,1982,Toyota
28,4,90,75,2125,15,1975,Toyota
31,4,119,82,2720,19,1983,Toyota
34.1,4,86,65,1975,15,1980,Toyota
27.2,4,119,97,2300,15,1979,Toyota
13,8,350,175,4100,13,1974,Toyota
17,6,250,100,3329,16,1972,Toyota
26,4,98,79,2255,18,1977,Toyota
17,6,231,110,3907,21,1976,Toyota
12,8,350,180,4499,13,1974,Toyota
18,6,250,88,3139,15,1972,Toyota
18.2,8,318,135,3830,15,1980,Toyota
16,6,250,100,3781,17,1975,Toyota
11,8,400,150,4997,14,1974,Toyota
12,8,400,167,4906,13,1974,Nissan
25,4,98,80,2126,17,1973,Nissan
34.2,4,105,70,2200,13,1980,Nissan
32.2,4,108,75,2265,15,1981,Tata
26.6,4,151,84,2635,16,1982,Tata
43.4,4,90,48,2335,24,1981,Tata
30,4,88,76,2065,15,1972,Tata
25,4,121,115,2671,14,1976,Tata
18,8,307,130,3504,12,1971,Tata
20,4,97,88,2279,19,1974,Tata
18,4,121,112,2933,15,1973,Tata
16,8,351,149,4335,15,1978,Hyundai
33,4,91,53,1795,18,1976,Hyundai
37.3,4,91,69,2130,15,1980,Hyundai
18,6,225,95,3785,19,1976,Hyundai
24.5,4,151,88,2740,16,1978,Hyundai
21,6,231,110,3039,15,1976,Hyundai
34.4,4,98,65,2045,16,1982,Maruti Suzuki
15,8,429,198,4341,10,1971,Maruti Suzuki
27,4,101,83,2202,15,1977,Maruti Suzuki
26,4,79,67,1963,16,1975,Hyundai
16,8,400,170,4668,12,1976,Hyundai
23.2,4,156,105,2745,17,1979,Hyundai
27,4,97,60,1834,19,1972,Hyundai
26.5,4,140,72,2565,14,1977,Hyundai
13,8,360,170,4654,13,1974,Hyundai
30.9,4,105,75,2230,15,1979,Hyundai
20,4,114,91,2582,14,1974,Hyundai
36.1,4,98,66,1800,14,1979,Hyundai
26,4,97,78,2300,15,1975,Hyundai
28,4,151,90,2678,17,1981,Hyundai
12,8,455,225,4951,11,1974,Hyundai
17,8,304,150,3672,12,1973,Hyundai
15,8,350,145,4440,14,1976,Hyundai
16,8,318,150,4190,13,1977,Hyundai
26,4,91,70,1955,21,1972,Hyundai
13,8,302,129,3169,12,1976,Hyundai
22,4,121,98,2945,15,1976,Hyundai
21,4,120,87,2979,20,1973,Hyundai
26.8,6,173,115,2700,13,1980,Hyundai
29,4,97,75,2171,16,1976,Hyundai
32,4,144,96,2665,14,1983,Hyundai
35.1,4,81,60,1760,16,1982,Hyundai
19.2,8,267,125,3605,15,1980,Hyundai
23,4,120,88,2957,17,1976,Volkswagen
20.6,6,225,110,3360,17,1980,Volkswagen
27,4,151,90,2735,18,1983,Volkswagen
15,8,350,165,3693,12,1971,Volkswagen
18.1,8,302,139,3205,11,1979,Volkswagen
31.3,4,120,75,2542,18,1981,Volkswagen
27.5,4,134,95,2560,14,1979,Volkswagen
14,8,455,225,4425,10,1971,Volkswagen
15,6,250,72,3158,20,1976,Maruti Suzuki
28,4,107,86,2464,16,1977,Maruti Suzuki
19,6,250,88,3302,16,1972,Maruti Suzuki
18,3,70,90,2124,14,1974,Maruti Suzuki
29.5,4,98,68,2135,17,1979,Maruti Suzuki
19,6,232,100,2634,13,1972,Maruti Suzuki
16.2,6,163,133,3410,16,1979,Maruti Suzuki
24.3,4,151,90,3003,20,1981,Maruti Suzuki
17.5,8,318,140,4080,14,1979,Maruti Suzuki
18,6,171,97,2984,15,1976,Maruti Suzuki
23,6,198,95,2904,16,1974,Maruti Suzuki
23,4,97,54,2254,24,1973,Maruti Suzuki
19.9,8,260,110,3365,16,1979,Maruti Suzuki
16,6,225,105,3439,16,1972,Maruti Suzuki
26,4,156,92,2585,15,1983,Ford
20,6,156,122,2807,14,1974,Ford
38,4,105,63,2125,15,1983,Ford
32.4,4,107,72,2290,17,1981,Ford
20.3,5,131,103,2830,16,1979,Ford
29,4,68,49,2730,20,1974,Ford
31,4,112,85,2575,16,1983,Ford
21,4,122,86,2226,17,1973,Ford
26,4,96,69,2189,18,1973,Volkswagen
14,8,400,175,4385,12,1973,Volkswagen
14,8,304,150,3672,12,1974,Volkswagen
20.2,8,302,139,3570,13,1979,Volkswagen
31.5,4,98,68,2045,19,1978,Volkswagen
19.8,6,97,85,2990,18,1980,Volkswagen
33.8,4,97,67,2145,18,1981,Volkswagen
17.5,8,305,140,4215,13,1977,Volkswagen
18,8,318,150,3436,11,1971,Ford
34,4,112,88,2395,18,1983,Ford
20.8,6,200,85,3070,17,1979,Ford
18,6,250,105,3459,16,1976,Ford
13,8,318,150,3940,13,1977,Ford
14,8,351,153,4129,13,1973,Ford
13,8,440,215,4735,11,1974,Ford
25.8,4,156,92,2620,14,1982,Ford
28.4,4,151,90,2670,16,1980,Ford
13,8,400,190,4422,13,1973,Ford
15,8,350,145,4082,13,1974,Ford
14,8,318,150,4077,14,1973,Ford
41.5,4,98,76,2144,15,1981,Ford
27.2,4,135,84,2490,16,1982,Toyota
43.1,4,90,48,1985,22,1979,Toyota
29,4,90,70,1937,14,1976,Toyota
33.5,4,85,70,1945,17,1978,Toyota
26,4,116,75,2246,14,1975,Toyota
23,4,140,83,2639,17,1976,Toyota
23.9,8,260,90,3420,22,1980,Toyota
19,6,225,100,3630,18,1978,Toyota
21,4,140,72,2401,20,1974,Toyota
15,8,390,190,3850,9,1971,Toyota
40.8,4,85,65,2110,19,1981,Toyota
18,6,250,88,3021,17,1974,Toyota
13,8,307,130,4098,14,1973,Toyota
25.4,6,168,116,2900,13,1982,Toyota
22,6,146,97,2815,15,1978,Toyota
17.7,6,231,165,3445,13,1979,Toyota
39.1,4,79,58,1755,17,1982,Mahindra
30,4,79,70,2074,20,1972,Mahindra
22,6,225,100,3233,15,1977,Mahindra
32.9,4,119,100,2615,15,1982,Fiat
37,4,85,65,1975,19,1982,Fiat
14.5,8,351,152,4215,13,1977,Fiat
28.8,6,173,115,2595,11,1980,Fiat
15,8,302,130,4295,15,1978,Toyota
17.5,6,258,95,3193,18,1977,Toyota
21.6,4,121,115,2795,16,1979,Toyota
14,8,318,150,4457,14,1975,Toyota
16.5,6,168,120,3820,17,1977,Toyota
14,8,302,137,4042,15,1974,Fiat
32,4,83,61,2003,19,1975,Fiat
10,8,360,215,4615,14,1971,Fiat
31,4,76,52,1649,17,1975,Honda
21,6,200,85,2587,16,1971,Honda
27,4,140,86,2790,16,1983,Honda
15,8,383,170,3563,10,1971,Honda
28,4,120,79,2625,19,1983,Honda
23,4,140,78,2592,19,1976,Honda
16,8,318,150,4498,15,1976,Honda
20,4,130,102,3150,16,1977,Honda
44,4,97,52,2130,25,1983,Jeep
14,8,318,150,4096,13,1972,Jeep
20.2,6,200,85,2965,16,1979,Isuzu
39,4,86,64,1875,16,1982,Isuzu
23,4,122,86,2220,14,1972,Mahindra
13,8,350,145,4055,12,1977,Mahindra
18,6,225,105,3121,17,1974,Volkswagen
16,8,400,180,4220,11,1978,Volkswagen
25,4,110,87,2672,18,1971,Honda
14,8,454,220,4354,9,1971,Honda
15,8,318,150,3399,11,1974,Honda
19.4,8,318,140,3735,13,1979,Skoda
44.3,4,90,48,2085,22,1981,Skoda
28,4,97,75,2155,16,1977,Audi
29,4,135,84,2525,16,1983,Audi
32.1,4,98,70,2120,16,1981,Audi
24,4,121,110,2660,14,1974,Audi
36.4,5,121,67,2950,20,1981,
13,8,350,145,3988,13,1974,
23.5,6,173,110,2725,13,1982,
24,4,113,95,2372,15,1971,
17,8,305,130,3840,15,1980,
36.1,4,91,60,1800,16,1979,
22,6,232,112,2835,15,1983,
18,6,232,100,3288,16,1972,Skoda
22,6,250,105,3353,15,1977,Skoda
,,,,,,,Skoda
,,,,,,,Dc
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Mini
,,,,,,,Mini
,,,,,,,Volvo
,,,,,,,Volvo
,,,,,,,Volvo
,,,,,,,Mini
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Mini
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Jaguar
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Audi
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Land Rover
,,,,,,,Land Rover
,,,,,,,Volvo
,,,,,,,Audi
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Ford
,,,,,,,Jeep
,,,,,,,Jeep
,,,,,,,Jeep
,,,,,,,Jeep
,,,,,,,
,,,,,,,Bmw
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Toyota
,,,,,,,Lexus
,,,,,,,Audi
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Bmw
,,,,,,,Audi
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Maserati
,,,,,,,Maserati
,,,,,,,Maserati
,,,,,,,
,,,,,,,
,,,,,,,Audi
,,,,,,,Maserati
,,,,,,,Maserati
,,,,,,,Lexus
,,,,,,,
,,,,,,,
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,Porsche
,,,,,,,Lexus
,,,,,,,
,,,,,,,Audi
,,,,,,,Lamborghini
,,,,,,,Bentley
,,,,,,,Ferrari
,,,,,,,Bentley
,,,,,,,Bentley
,,,,,,,Aston Martin
,,,,,,,Ferrari
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Bentley
,,,,,,,
,,,,,,,
,,,,,,,Bugatti
,,,,,,,Bugatti
,,,,,,,Bajaj
,,,,,,,Bajaj
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Hyundai
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Mahindra
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Maruti Suzuki
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Icml
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Tata
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
,,,,,,,Honda
